,Region and country of last residence 1,1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010,2011,2012,2013,2014,2015,region
0,     Total,128502,538381,1427337,2814554,2081261,2742137,5248568,3694294,8202388,6347380,4295510,699375,856608,2499268,3213749,4248203,6244379,9775398,10299430,1042625,1062040,1031631,990553,1016518,1051031,Total
1,Europe,99618,422853,1369423,2622617,1880389,2252050,4638684,3576411,7572569,4985411,2560340,444404,472524,1404973,1133443,826327,669694,1349219,1349609,95429,90712,86956,91095,87790,90789,Europe
2,"   Austria 2, 3",-,-,-,-,2700,54529,204805,268218,532416,589174,31392,6678,8496,81354,17571,14239,15374,18234,21151,3319,3654,2199,1053,1088,1928,Europe
3,"   Hungary 2, 3",-,-,-,-,483,5598,109982,203350,685567,565553,29499,7224,5181,31661,10019,6148,5063,9295,12778,1006,1049,1009,1008,970,1037,Europe
4,Belgium,28,20,3996,5765,5785,6991,18738,19642,37429,32574,21511,4013,12473,18885,9647,5413,7028,7077,8157,732,700,698,803,775,809,Europe
5,Bulgaria 4 ,-,-,-,-,-,-,-,52,34651,27180,2824,1062,449,97,598,1011,1124,16948,40003,2465,2549,2322,2720,2886,2585,Europe
6,Czechoslovakia 5,-,-,-,-,-,-,-,-,-,-,101182,17757,8475,1624,2758,5654,5678,8970,18691,1510,1374,1316,1258,1168,1236,Europe
7,Denmark,173,927,671,3227,13553,29278,85342,56671,61227,45830,34406,3470,4549,10918,9797,4405,4847,6189,6049,545,473,492,546,533,634,Europe
8,Finland 6  ,-,-,-,-,3,286,9617,36719,-,-,16922,2438,2230,4923,4310,2829,2569,3970,3970,414,398,373,360,368,397,Europe
9,France ,7694,39330,75300,81778,35938,71901,48193,35616,67735,60335,54842,13761,36954,50113,46975,27018,32894,36552,45637,4339,3967,4201,4668,4544,5034,Europe
10,Germany 3,5753,124726,385434,976072,723734,751769,1445181,579072,328722,174227,386634,117736,119403,576905,209616,77142,85752,92207,122373,7929,7072,6732,6880,6387,5965,Europe
11,Greece,17,49,17,32,51,209,1807,12732,145402,198108,60774,10599,8605,45153,74173,102370,37729,25403,16841,966,1196,1264,1526,1388,1330,Europe
12,Ireland 7,51617,170672,656145,1029486,427419,422264,674061,405710,344940,166445,201644,28195,15701,47189,37788,11461,22210,65384,15642,1610,1533,1694,1765,1721,1798,Europe
13,Italy,430,2225,1476,8643,9853,46296,267660,603761,1930475,1229916,528133,85053,50509,189061,200111,150031,55562,75992,28329,2956,2670,2946,3233,3647,3829,Europe
14,Netherlands,1105,1377,7624,11122,8387,14267,52715,29349,42463,46065,29397,7791,13877,46703,37918,10373,11234,13345,17351,1520,1258,1294,1376,1373,1505,Europe
15,   Norway 8,-,-,-,-,-,88644,185111,96810,182542,79488,70327,6901,8326,22813,17371,3927,3835,5211,4599,363,405,314,389,332,357,Europe
16,   Sweden 8,-,-,-,-,-,90179,401330,237248,244439,112957,100002,6551,9000,21418,18779,6371,10106,12614,14783,1299,1125,1127,1276,1147,1194,Europe
17,Poland 3,19,366,105,1087,1886,11016,42910,107793,-,-,224420,26460,7774,6498,55773,33699,63483,172249,117921,7391,6634,6024,6073,5437,4921,Europe
18,Portugal 9 ,252,896,359,4218,4741,13990,15189,25874,65154,82489,44829,3518,6765,13928,70568,104754,42685,25497,11479,759,878,837,917,920,869,Europe
19,Romania ,-,-,-,-,-,-,5842,6808,57322,13566,67810,5264,1254,914,2339,10774,24753,48136,52154,3735,3679,3477,3475,3022,3160,Europe
20,"Russia 3, 6,10",86,280,520,423,1667,34977,173081,413382,1501301,1106998,61604,2473,605,453,2329,28132,33311,433427,167152,7502,8548,10114,10154,9455,9030,Europe
21,Spain ,2866,2016,1917,8803,6970,5571,3999,9189,24818,53262,47109,3669,2774,6880,40793,41718,22783,18443,17695,2040,2319,2316,2970,3341,3707,Europe
22,Switzerland,3148,4430,4819,24423,21124,25212,81151,37020,32541,22839,31772,5990,9904,17577,19193,8536,8316,11768,12173,868,861,916,1040,888,1007,Europe
23,United Kingdom 11,26336,74350,218572,445322,532956,578447,810900,328759,469518,371878,342762,61813,131794,195709,220213,133218,153644,156182,171979,14781,13443,13938,15321,14395,14653,Europe
24,Yugoslavia 12,-,-,-,-,-,-,-,-,-,-,49215,6920,2039,6966,17990,31862,16267,57039,131831,4772,4611,4488,4445,4321,4721,Europe
25,Other Europe,3,40,79,14,10,626,1070,145,514,6527,21330,9068,5387,7231,6814,5242,3447,29087,290871,22608,20316,16865,17839,17684,19083,Europe
26,Asia,34,55,121,36080,54408,134071,71152,61304,300441,269736,126740,19292,34532,135844,358563,1406526,2391356,2859899,3470835,410209,438580,416488,389301,419382,405854,Asia
27,China,3,8,32,35933,54028,133139,65797,15268,19884,20916,30648,5874,16072,8836,14060,17627,170897,342058,591711,67634,83603,78184,68410,72492,70977,Asia
28,Hong Kong ,-,-,-,-,-,-,-,-,-,-,-,-,-,13781,67047,117350,112132,116894,57583,3263,3149,2642,2614,2515,2426,Asia
29,India,9,38,33,42,50,166,247,102,3026,3478,2076,554,1692,1922,18638,148018,231649,352528,590464,66185,66331,63320,65506,74451,61380,Asia
30,Iran ,-,-,7,-,4,17,18,26,-,-,208,198,1144,3195,9059,33763,98141,76899,76755,9078,9015,8955,9658,8894,9074,Asia
31,Israel ,-,-,-,-,-,-,-,-,-,-,-,-,98,21376,30911,36306,43669,41340,54081,5172,4389,4640,4555,4251,4324,Asia
32,Japan ,-,-,-,-,138,193,1583,13998,139712,77125,42057,2683,1557,41968,40956,52812,44150,66582,84552,7100,6751,6581,6383,5980,5808,Asia
33,Jordan ,-,-,-,-,-,-,-,-,-,-,-,-,3,4919,9230,25541,28928,42755,53550,9327,8211,7014,5949,9028,7835,Asia
34,Korea 13,-,-,-,-,-,-,-,-,-,-,-,-,83,4845,27048,241192,322708,179770,209758,22022,22748,20802,22937,20313,16976,Asia
35,Philippines ,-,-,-,-,-,4,1,19,605,-,-,457,4099,17245,70660,337726,502056,534338,545463,56399,55251,55441,52955,48633,54307,Asia
36,Syria 14,-,-,-,-,2,7,140,-,-,-,5307,2188,1179,1091,2432,8086,14534,22906,30807,7424,7983,6674,3999,4677,5459,Asia
37,Taiwan ,-,-,-,-,-,-,-,-,-,-,-,-,-,721,15657,83155,119051,132647,92657,6785,6206,5295,5336,4712,4814,Asia
38,Turkey 14,19,8,45,94,129,382,2478,27510,127999,160717,40374,1314,754,2980,9464,12209,19208,38687,48394,7435,9040,7362,7189,7248,8762,Asia
39,Vietnam ,-,-,-,-,-,-,-,-,-,-,-,-,-,290,2949,121716,200632,275379,289616,30065,33486,27578,26578,29825,30332,Asia
40,Other Asia,3,1,4,11,57,163,888,4381,9215,7500,6070,6024,7851,12675,40452,171025,483601,637116,745444,112320,122417,122000,107232,126363,123380,Asia
41,America,9656,31911,50527,84201,130427,345889,529845,38756,277882,1070539,1591278,230319,328435,921644,1674185,1903636,2694504,5137142,4441529,426981,423277,409664,399380,400102,439228,America
42,"Canada and Newfoundland 15,16,17",2297,11875,34285,64171,117975,323974,492508,2668,123067,708715,949286,162703,160911,353169,433128,179267,156313,194788,236349,19491,19506,20138,20489,17670,19309,America
43,"Mexico 16,17",3835,7187,3069,3446,1957,5133,2405,734,31188,185334,498945,32709,56158,273847,441824,621218,1009586,2757418,1704166,138717,142823,145326,134198,133107,157227,America
44,Caribbean,3061,11792,11803,12447,8809,14592,27600,31885,100960,120860,83482,18052,46285,115869,427843,708643,789343,1004114,1053357,139389,133012,126615,121349,133550,146086,America
45,Cuba ,-,-,-,-,3420,8705,20134,23669,-,-,12769,10641,25976,73221,202030,256497,132552,159037,271742,33372,36261,32551,31343,46505,54178,America
46,Dominican Republic ,-,-,-,-,-,-,-,-,-,-,-,1165,4802,10219,83552,139249,221552,359818,291492,53890,46036,41535,41487,44550,50382,America
47,Haiti ,-,-,-,-,78,149,124,101,-,-,-,207,823,3787,28992,55166,121406,177446,203827,22336,21802,22446,20083,15107,16787,America
48,Jamaica 18,-,-,-,-,61,257,355,223,-,-,-,-,-,7397,62218,130226,193874,177143,172523,19439,19298,20300,19052,18804,17362,America
49,Other Caribbean 18,3061,11792,11803,12447,5250,5481,6987,7892,100960,120860,70713,6039,14684,21245,51051,127505,119959,130670,113773,10352,9615,9783,9384,8584,7377,America
50,Central America,57,94,297,512,70,202,359,674,7341,15692,16511,6840,20135,40201,98569,120376,339376,610189,591130,43597,43249,39837,44056,43638,46556,Central America
51,Belize ,-,-,-,-,9,26,80,25,583,40,285,193,433,1133,4185,6747,14964,12600,9682,997,933,875,969,823,804,Central America
52,Costa Rica ,-,-,-,-,2,4,1,4,-,-,-,580,1965,4044,17975,12405,25017,17054,21571,2306,2230,2152,2232,2018,2121,Central America
53,El Salvador ,-,-,-,-,-,3,-,7,-,-,-,712,4885,5094,14405,29428,137418,273017,251237,18547,18477,15874,18015,18964,18699,Central America
54,Guatemala ,-,-,-,-,1,10,3,9,-,-,-,632,1303,4197,14357,23837,58847,126043,156992,10263,10795,9857,9829,9871,11466,Central America
55,Honduras ,-,-,-,-,-,11,4,4,-,-,-,809,1874,5320,15087,15653,39071,72880,63513,6381,6053,6773,8795,8025,9071,Central America
56,Nicaragua ,-,-,-,-,-,1,1,3,-,-,-,564,4393,7812,10383,10911,31102,80446,70015,3476,3314,2943,2940,2773,3262,Central America
57,Panama 19,-,-,-,-,-,-,-,-,-,-,-,1774,5282,12601,22177,21395,32957,28149,18120,1627,1447,1363,1276,1164,1133,Central America
58,Other Central America ,57,94,297,512,58,147,270,622,6758,15652,16226,1576,-,-,-,-,-,-,-,-,-,-,-,-,-,Central America
59,South America,405,957,1062,3569,1536,1109,1954,1389,15253,39938,43025,9990,19662,78418,250754,273529,399803,570596,856508,85783,84687,77748,79287,72135,70049,South America
60,Argentina ,-,-,-,-,7,58,64,36,-,-,-,1397,3108,16346,49384,30303,23442,30065,47955,4312,4335,4218,4227,3757,3542,South America
61,Bolivia ,-,-,-,-,-,5,-,-,-,-,-,77,893,2759,6205,5635,9798,18111,21921,2211,2113,1920,2005,1663,1549,South America
62,Brazil ,-,-,-,-,32,219,199,92,-,-,4627,1468,3653,11547,29238,18600,22944,50744,115404,12057,11643,11248,10772,10246,11247,South America
63,Chile ,-,-,-,-,25,92,44,66,-,-,-,568,1320,4669,12384,15032,19749,18200,19792,1940,1854,1628,1751,1591,1620,South America
64,Colombia ,-,-,-,-,2,196,1210,607,-,-,-,1278,3454,15567,68371,71265,105494,137985,236570,21861,22130,20272,20611,17614,16509,South America
65,Ecuador ,-,-,-,-,-,7,14,33,-,-,-,320,2207,8574,34107,47464,48015,81358,107977,11463,11068,9284,10553,10871,9816,South America
66,Guyana ,-,-,-,-,41,95,68,27,-,-,-,193,596,1131,4546,38278,85886,74407,70373,6441,6288,5282,5564,6031,5313,South America
67,Paraguay ,-,-,-,-,-,2,-,-,-,-,-,36,85,576,1249,1486,3518,6082,4623,449,501,454,437,363,353,South America
68,Peru ,-,-,-,-,35,127,25,79,-,-,-,460,1273,5980,19783,25311,49958,110117,137614,14063,13836,12414,12370,10450,9973,South America
69,Suriname ,-,-,-,-,-,-,-,-,-,-,-,33,130,299,612,714,1357,2285,2363,202,167,216,170,160,116,South America
70,Uruguay ,-,-,-,-,-,22,4,144,-,-,-,153,754,1026,4089,8416,7235,6062,9827,1286,1521,1348,1314,1098,1023,South America
71,Venezuela ,-,-,-,-,36,190,248,-,-,-,-,1360,2182,9927,20758,11007,22405,35180,82087,9497,9229,9464,9512,8289,8985,South America
72,Other South America ,405,957,1062,3569,1358,96,78,305,15253,39938,38398,2647,7,17,28,18,2,-,2,1,2,-,1,2,3,South America
73,Other America ,1,6,11,56,80,879,5019,1406,73,-,29,25,25284,60140,22067,603,83,37,19,4,-,-,1,2,1,South America
74,Africa,19,66,67,104,458,441,768,432,6326,8867,6362,2120,6720,13016,23780,71405,141987,346410,759734,98246,97429,103685,94589,94834,98677,Africa
75,Egypt ,-,-,-,5,8,29,145,51,-,-,1063,781,1613,1996,5581,23543,26744,44604,81564,9822,9096,10172,10719,12043,13907,Africa
76,Ethiopia ,-,-,-,-,-,-,-,-,-,-,-,10,28,302,804,2588,12927,40097,87207,13853,13985,15400,13484,12926,12566,Africa
77,Liberia ,1,8,5,7,43,52,21,9,-,-,-,35,37,289,841,2391,6420,13587,23316,2924,3117,3451,3036,3681,3580,Africa
78,Morocco ,-,4,1,-,-,15,12,9,-,-,-,110,1463,3293,2880,1967,3471,15768,40844,4847,4249,3534,3202,3495,3569,Africa
79,South Africa ,-,-,-,-,79,48,23,9,-,-,-,312,1022,2278,4360,10002,15505,21964,32221,2705,2754,2960,2693,2871,3298,Africa
80,Other Africa,18,54,61,92,328,297,567,354,6326,8867,5299,872,2557,4858,9314,30914,76920,210390,494582,64095,64228,68168,61455,59818,61757,Africa
81,Oceania,2,1,3,110,107,9094,7341,3279,11677,12339,9860,3240,14262,11319,23659,39983,41432,56800,65793,5946,5825,5573,6061,5980,6227,Oceania
82,Australia 20,2,1,2,104,96,8933,7250,3098,11191,11280,8404,2260,11201,8275,14986,18708,16901,24288,32728,3077,3062,3146,3529,3582,3795,Oceania
83,New Zealand 20,-,-,-,2,6,39,21,12,-,-,935,790,2351,1799,3775,5018,6129,8600,12495,1046,1006,980,1027,941,978,Oceania
84,Other Oceania,-,-,1,4,5,122,70,169,486,1059,521,190,710,1245,4898,16257,18402,23912,20570,1823,1757,1447,1505,1457,1454,Oceania
85,Not Specified 21,19173,83495,7196,71442,15472,592,778,14112,33493,488,930,-,135,12472,119,326,305406,25928,211930,5814,6217,9265,10127,8430,10256,Oceania
